pilar,platform,handle,nombre,plataforma_principal_followers
1,instagram,danielhabif,Daniel Habif,10M IG
1,instagram,yokoikenjidiaz,Yokoi Kenji,5M IG
1,instagram,pastorcashluna,Cash Luna,3M IG
1,instagram,marcosbrunet,Marcos Brunet,2M IG
1,instagram,dantegebeloficial,Dante Gebel,2M IG
1,instagram,mastermunozoficial,Carlos Master Muñoz,1M IG
1,instagram,itielarroyo,Itiel Arroyo,1M IG
1,instagram,andresspyker,Andrés Spyker,615K IG
1,instagram,jayshetty,Jay Shetty,18.5M IG
1,instagram,tonyrobbins,Tony Robbins,8M IG
1,youtube,DiaryOfACEO,Steven Bartlett (DOAC),YT podcast principal
1,youtube,patrickbetdavid,Patrick Bet-David,YT 7M
2,youtube,DotCSV,Carlos Santana (DotCSV),YT ~1M
2,youtube,ElRobotdePlaton,Aldo Bartra (Robot de Platón),YT ~3M
2,instagram,mastermunozoficial,Carlos Master Muñoz,1M IG (cross P1)
2,instagram,comousarapps,Cómousarapps,183K IG
2,instagram,artificialmente.ia,Artificialmente IA,256K IG
2,instagram,bruno.ia1,Bruno Pereira,201K IG
2,tiktok,rileybrown.ai,Riley Brown,624K TT
2,linkedin,alliekmiller,Allie K. Miller,2M LinkedIn
2,youtube,mreflow,Matt Wolfe (FutureTools),YT ~700K-1M
3,tiktok,camilapudim,Camila Pudim,31.9M TT
3,tiktok,viihtube,Viih Tube,15.7M TT
3,tiktok,virginiafonseca,Virginia Fonseca,14M+ TT
3,tiktok,magalu,Lu do Magalu,7.4M TT
3,tiktok,camilaloures,Camila Loures,18.5M TT
3,tiktok,marisaad,Mari Saad,1M+ cross
3,tiktok,mercadolibre.mex,Mercado Libre MX,1.2M TT
3,tiktok,meif_espinosa,Meif Espinosa,~500K TT (verificar)
3,tiktok,mikaylanogueira,Mikayla Nogueira,17M+ TT
3,tiktok,sarahpotempa,Sarah Potempa (Beachwaver),1.5M TT
3,tiktok,danielleathena,Danielle Athena,689K TT
3,tiktok,katrinadimiele,Katrina DiMiele,214K TT
4,instagram,ramiro.cubria,Ramiro Cubria,443K IG
4,instagram,vilmanunez,Vilma Núñez,1M IG
4,youtube,felipevergara,Felipe Vergara,340K YT
4,instagram,mastermunozoficial,Carlos Master Muñoz,1M IG (cross P1+P2)
4,instagram,juanmerodio,Juan Merodio,357K IG
4,instagram,connieansaldi,Connie Ansaldi,1M+ IG
4,instagram,garyvee,Gary Vaynerchuk,12M IG
4,instagram,hormozi,Alex Hormozi,4.5M IG
4,linkedin,justinwelsh,Justin Welsh,1.5M LinkedIn
4,youtube,thedankoe,Dan Koe,1.2M YT
4,instagram,euge.oller,Euge Oller,547K IG
2,instagram,sifusui,Andy Sui | Marketing Chino,169K IG
3,instagram,sifusui,Andy Sui | Marketing Chino,169K IG
2,instagram,soyenriquerocha,Enrique Rocha | IA para Contenido,3300+ reels IG
